fire_record,IMD_score,population,White,mixed/multiple_ethnic_groups,Asian/Asian_British,Black/African/Caribbean/Black British,other_ethnic_group,Household_spaces_with_no_usual_residents,Household_Median_Annual_Household_Income_estimate_2012
1,34.38,99.17,67.82,4.41,9.29,17,1.47,1.1,27204.16
0,39.82,91.93,70.41,3.91,7.38,17.56,0.74,0.77,27432.35
0,35.15,118.65,68.8,3.43,5.65,17.64,4.48,1.84,25635.33
0,38.16,101.93,66.18,3.63,8.53,20.82,0.84,1.93,28962.5
0,34.36,36.59,65.62,4.03,5.07,24.53,0.75,1.76,27487.14
1,28.85,86.88,53.01,3.17,12.53,30.53,0.77,2.44,32049.19
0,28.97,123.16,59.48,5.52,5.76,28.09,1.14,5.26,29207.23
0,28.32,8.6,51.07,3.66,13.07,29.23,2.97,7.26,31267.56
0,42.18,74.65,49.82,3.79,14.06,30.4,1.93,2.01,23715.4
0,33.77,13.45,41.47,4.71,21.17,29.69,2.95,1.81,31867.01
0,46.92,57.11,51.07,5.82,10.21,31.42,1.49,1.68,24370.33
0,28.18,22.46,34.24,6.71,15.31,42.61,1.13,1.15,33214.2
0,32.25,7.97,51.08,3.63,11.9,31.81,1.59,0.54,35193.27
1,40.93,24.3,43.8,4.43,9.55,40.37,1.85,1.08,23268.74
1,38.01,97.21,68.63,4.4,13.49,11.88,1.6,1.26,28026.33
0,39.41,106.16,60.88,5.38,17.64,15.12,0.97,1.57,27315.17
0,29.27,69.81,70.32,4.79,11.43,12.53,0.92,7.11,29851.6
0,31.83,80.28,70.18,3.99,10.71,13.67,1.45,2.07,27894.56
0,40.46,103.54,70.59,2.84,9.72,15.86,0.99,3.24,27117.33
0,42.63,63.41,70.78,4.94,7.86,15.52,0.91,1.42,28574.59
0,32.89,23.3,59.41,4.09,6.35,28.07,2.08,2.12,26253.5
0,34.67,77.61,63.62,3.82,5.78,25.55,1.24,2.38,25433.5
0,44.15,101.22,67.31,5.31,5.07,21.51,0.8,1.51,25391.04
1,43.52,91.8,61.94,4.73,5.64,26.78,0.91,1.72,25332.53
