fire_record,IMD_score,population,White,mixed/multiple_ethnic_groups,Asian/Asian_British,Black/African/Caribbean/Black British,other_ethnic_group,Household_spaces_with_no_usual_residents,Household_Median_Annual_Household_Income_estimate_2012
0,37.21,34.08,46.8,3.71,32.5,13.15,3.83,1.26,23026.66
0,34.89,326.13,44.14,5.68,25.91,19.26,5.01,1.38,21565.67
0,33.23,252.58,51.54,7.46,22.63,13.73,4.64,1.2,22567.13
1,33.6,104.35,41.19,5.61,35.38,13.84,3.98,5.44,25463.5
0,26.31,141.39,61.13,5.21,14.92,14.92,3.82,2.05,28623.84
0,24.53,103.43,53.98,7.55,19.92,12.46,6.1,2,27133.04
0,39.03,228.42,55.57,4.73,23.89,12.69,3.11,0.85,22347.06
0,16.48,169.45,61.16,4.9,23.9,5.07,4.96,2.1,41451.4
0,22.61,142.04,53.68,4.27,24.45,11.31,6.29,2.54,30384.69
0,6.05,178.28,74.69,4.21,15.14,3.08,2.89,3.62,57953.8
0,8.75,110.74,51.74,3.8,30.73,5.51,8.22,15.41,52917.83
0,17.86,129.08,74.64,4.25,12.62,5.26,3.23,1.66,45755.49
0,17.42,147.81,71.35,4.99,13.99,5.12,4.53,2.68,44410.44
1,6.97,119.79,83.86,3.44,9.66,0.86,2.18,3.98,63942.93
0,9.33,38.24,75.59,4.05,13.13,3.83,3.41,10.29,60567.71
1,14.27,188.22,74.55,5.45,12.56,4.65,2.79,3.18,46074.95
0,6.28,119.72,74.46,5.61,13.73,2.85,3.35,3.73,54854.49
0,10.28,215.8,81.37,4.36,8.24,3.12,2.91,3.6,48915.16
0,7.87,188.92,80.92,4.94,9.88,1.89,2.37,2.84,55957.82
0,27.1,149.93,56.94,6.32,15.78,16.33,4.63,2.47,30164.38
0,20.58,84.08,63.24,6.26,16.5,10.56,3.45,5.4,33620.07
0,25.09,157.49,61.04,6.8,11.83,15.17,5.16,1.32,29982.04
0,17.72,87.28,55.11,8,23.81,11.04,2.05,3.4,34474.63
0,25.79,118.03,51.63,7.71,21.8,16.34,2.52,3.63,27677.28
0,28.33,94.63,54.02,8.32,17.5,18.2,1.96,3.87,28282.3
0,20.55,114.39,57.46,6.03,19.72,15.1,1.69,4.83,31766.08
0,17.57,132.82,57.49,6.75,24.25,9.4,2.11,3.78,36900.07
0,26.51,98,53.87,7.46,13.01,24.8,0.85,1.74,31995.46
0,13.99,98.07,59.62,8.1,10.48,20.52,1.28,3.86,34585.87
0,18.64,119.8,60.35,6.92,13.28,18.08,1.37,2.01,30011.7
0,13.49,106.28,63.38,8.18,13.03,13.96,1.46,2.06,36635.5
0,30.64,108.7,51.56,11.7,17.5,16.84,2.41,2.49,28278.44
0,8.73,38.14,70.49,4.77,12.02,11.2,1.52,1.15,41014.19
0,13.04,54.61,63.06,7.83,14.5,13.18,1.44,2.45,42025.01
0,9.38,89.03,69.18,6.29,12.44,11.11,0.98,3.02,40716.59
0,12.45,67.32,69.89,6.68,10.72,11.83,0.88,2.48,40012.17
0,40.28,87.92,56.34,7.82,8.87,24.58,2.39,1.82,23699.36
1,8.84,36.41,73.86,3.27,11.34,10.61,0.91,2.5,43536.4
0,32.16,41.76,50,7.53,11.73,29.27,1.47,0.96,26730.37
1,12.21,104.63,67.04,6.23,10.86,14.38,1.48,1.6,35169.22
0,19.76,89.92,29.27,7.47,26.82,35.05,1.38,2.01,28354.06
0,20.56,118.34,22.87,5.46,36.79,32.37,2.51,1.97,25947.69
0,19.95,119.68,24.16,6.46,28.63,39.79,0.96,3.28,30374.11
1,22.34,132.24,26.72,7.59,31.52,30.87,3.3,2.89,28007.13
0,32.58,112.39,28.18,8.32,22.63,37.78,3.09,0.94,26758.06
0,22.78,137.23,20.8,5.71,45.27,26.58,1.65,1.58,27741.59
0,28.22,95.31,24.39,5.05,31.1,36.54,2.92,2.78,28296.31
0,37.46,100.91,29.37,6.61,17.49,44.44,2.09,2.57,25346.75
0,22.16,131.78,24.72,6.63,28.44,39.61,0.6,3.68,28127.13
0,24.98,102.18,31.63,7.61,18.66,39.51,2.58,1.14,26700.66
0,26.94,145.02,28.23,8.69,21.94,38.66,2.49,0.76,26103.36
0,23.2,181.44,22.29,3.26,48.55,23.47,2.43,2.55,25666.6
0,30.66,52,37.16,8.54,25.8,26.89,1.6,1.28,26368.84
0,18.88,135.85,23.98,2.95,50.05,20.12,2.9,1.14,26675.28
0,30.4,91.79,36.44,7.96,30.22,22.33,3.05,2,24103.6
0,23.75,166.61,20.69,6.83,43.01,27.68,1.79,1.3,26890.27
0,41.78,21.91,48.02,7.07,20.21,23.58,1.12,0.92,22200.29
0,30.87,156.83,24.89,8.03,39.19,24.36,3.53,3.45,24394.6
0,37.55,137.98,25.81,7.34,35.12,28.51,3.23,3.37,22820.71
0,46.1,104.93,33.85,8.82,23.34,29.04,4.96,1.53,20252.81
1,30.29,52.21,40.86,11,22.61,23.43,2.1,3.1,26178.65
0,24.29,36.05,79.72,6.74,5.21,8.13,0.21,1.34,34295.63
1,14.36,16.32,78.65,4.81,7.98,6.45,2.11,2.06,42252.31
1,8.04,12.21,88.24,2.59,6.22,2.4,0.55,0.47,50938.39
0,6.43,16.77,92.03,3.08,2.51,1.99,0.39,1.08,43743.47
0,5.45,25,86.23,4.24,4.7,4.24,0.6,1.98,48774.79
0,8.45,45.7,83.56,5.09,5.52,5.09,0.74,2.23,40033.12
0,35.48,6.55,80.56,7.96,3.08,7.36,1.05,1.01,25333.22
0,9.34,14.69,87.28,3.39,5.74,3.25,0.35,2.71,43558.71
0,23.39,23.17,68.72,6.24,14.92,8.9,1.22,6.2,30927.96
0,8.87,50.34,79.97,5.39,8.47,5.74,0.42,1.85,42369.42
0,6.23,55.26,84.26,3.01,7.48,4.48,0.77,1.41,42429.92
0,12.71,64.78,87.91,4.45,3.12,4.05,0.46,0.93,36296.58
0,10.5,11.45,79.39,4.93,10.24,4.3,1.14,2.38,44743
0,6.17,18.29,61.72,5.15,26.93,4.66,1.53,1.68,56990.57
0,14.98,31.71,68.8,4.39,18.96,6.59,1.26,2.35,50015.47
0,7.28,34.36,65.34,5.53,19.06,8.86,1.2,1.49,55080.57
0,6.87,37.3,76.19,4.5,13.23,4.57,1.5,0.41,52696.74
1,3.77,21.57,81.52,3.3,11.39,2.79,1,1.52,53136.17
0,14.46,55.88,64.91,6.44,15.9,10.95,1.79,2.66,37431.83
0,14.83,51.49,71.7,7.65,9.23,10.29,1.12,2.8,37951.13
0,18.39,83.88,61.88,5.34,17.39,13.64,1.76,3.7,36054.95
0,11.98,18.25,68.44,5,19.46,5.72,1.38,3.53,53569.42
0,20.4,90.22,64.4,8.31,10.32,15.04,1.93,4.29,30149.56
1,18.54,92.1,65.4,6.19,13.67,12.83,1.9,2.59,33984.97
0,8.63,32.58,76.53,4.27,13.16,5.5,0.54,3,51617.15
0,15.15,94.29,71.43,7.55,9.43,9.54,2.05,3.66,33443.78
0,21.14,84.08,63.5,9.37,9.81,14.84,2.48,2.34,29855.58
0,36.63,94.82,55.72,10.07,13.53,17.88,2.81,4.78,27231.44
0,31.45,79.56,50.23,8.38,19.98,18.85,2.56,4.38,28184.72
0,10.21,42.85,55.83,3.8,29.24,9.47,1.66,3.54,49051.2
0,35.78,40.65,58.52,5.05,22.64,12.53,1.26,16.55,31940.73
1,9.77,86.73,40.55,3.14,49.11,3.54,3.66,4.06,49288.42
0,22.05,94.62,65.15,6.16,13.99,12.31,2.39,2.91,30532.43
0,28.92,57.08,36.82,8.08,29.2,22.35,3.55,8.57,29107.15
0,12.32,10.06,49.19,4.44,36.36,8.39,1.62,3.63,58743.24
1,22.05,105.94,50.67,4.01,33.35,9.84,2.13,4.3,35426.81
0,39.06,60.28,63.91,7.1,2.84,24.53,1.61,2.35,21909.72
0,42.12,88.68,61.92,6.91,3.46,27.09,0.62,1.05,21741.28
0,32.4,67.24,77.2,4.49,3.7,13.55,1.06,2.04,23953.77
0,34.92,68.13,68.13,5.2,2.75,22.98,0.94,0.5,21972.65
0,38.85,52.62,75.49,4.45,3.57,15.92,0.56,0.85,21286.23
1,37.89,115.82,60.89,9.13,4.81,24.31,0.86,0.67,20090.49
0,40.5,134.3,54.08,10.58,6.45,27.67,1.21,3.63,18571.97
0,11.62,68.72,81.22,3.02,7.24,7.92,0.6,1.14,37178.18
0,15.24,80.38,82.59,4.3,5.09,6.66,1.36,1.14,32838.23
0,20.54,10.61,80.33,4.49,6.07,8.73,0.38,0.76,32565.14
0,23.65,33.63,75.99,5.54,6.78,10.24,1.44,0.77,27998.91
0,9.87,12.3,69.88,4.91,15.32,8.93,0.96,1.21,48913.65
0,6.86,48.73,73.75,5.07,12.09,8.58,0.52,2,44865.12
0,12.84,4.62,71.24,2.3,19.96,5.87,0.64,1.13,48582.97
0,15.89,11.76,84.41,2.92,5.7,6.15,0.82,1.9,35227.13
0,38.91,86.2,60.12,6.06,7.89,23.67,2.26,0.4,24177.94
0,7,25.08,72.59,5.21,14.71,5.82,1.66,1.03,57116.31
0,17.3,24.95,77.96,5.3,6.19,9.25,1.3,2.12,40749.26
0,9.76,34.69,76.75,3.47,13.43,5.42,0.94,2.34,47825.58
0,14.45,33.77,71.15,5.5,10.43,11.59,1.33,1.2,37795.84
0,12.94,26.93,83.66,4.71,5.34,5.29,1,2.65,39558.68
0,8.21,6.68,84.74,2.02,9.48,2.42,1.34,1.84,56717.18
0,16.33,46.69,74.18,5.83,13.46,5.97,0.56,4.48,41999.44
1,18.33,52.01,69.27,7.86,11.02,9.83,2.02,1.9,36043.9
1,11.58,34.31,81.84,4.59,7.56,5.43,0.58,3,40374.86
1,36.21,47.87,73.23,7.41,4.67,13.45,1.25,1.86,23116.92
0,18.54,79.99,83.45,2.22,4.66,8.6,1.07,0.95,27732.13
0,36,38.93,75,3.7,4.27,15.74,1.28,0.97,23862.4
0,33.98,58.95,77.87,4.4,2.32,14.81,0.59,1.69,22061.98
0,49.59,77.67,70.98,5.18,3.52,18.24,2.09,1.58,20098.08
0,34.64,31.81,76.93,4.76,4.19,13.41,0.71,0.98,22219.97
0,33.02,29.65,77.5,4.55,1.97,15.06,0.92,0.71,23180.12
0,13.37,51.77,39.96,5.41,33.62,19.52,1.49,1.29,38668.05
0,13.99,31.18,51.37,5.31,27.19,13.95,2.19,2.78,43501.82
0,18.62,90.87,32.94,7.47,30.2,26.9,2.49,3.62,29197.85
0,16.71,76.77,34.74,8,26.17,28.34,2.74,1.63,33187.88
0,23.96,61.96,34.35,5.42,33.26,24.1,2.87,3.96,28723.44
0,16.13,113.94,32.77,6.73,24.34,33.18,2.98,1.66,29641.7
0,28.74,124.57,37.7,8.44,25.9,25.85,2.1,2.46,25922.98
0,23.38,131.52,36.2,7.96,24.18,29.69,1.97,2.12,26868.18
1,15.4,51.71,39.56,5.62,31.36,21.45,2.02,3.6,39884.04
0,19.83,28.88,66.18,4.45,20.03,7.93,1.41,3.29,51709.19
0,11.68,42.4,57.48,7.88,19.56,11.51,3.57,2.53,38766.31
0,8.46,13.57,65.8,3.6,26.06,2.97,1.58,3.16,61489.24
0,16.29,62.43,66.08,5.04,13.62,13.28,1.98,4.11,34090.25
0,7.1,38.23,71.06,6.84,13.75,7.56,0.78,0.93,54568.19
0,22.42,53.83,67.14,8.23,13.69,8.65,2.28,3.55,33525.88
0,7.54,30.63,76.79,5.58,11.71,5.03,0.9,1.15,57550.81
0,19.72,70.47,72.11,6.91,10.77,8.53,1.69,1.84,36891.46
0,8.83,59.98,76.17,3.6,10.05,8.89,1.29,2.21,42361.85
0,5.12,25.56,83.27,3.37,9,3.23,1.12,0.78,52119.23
0,7.13,23.42,79.84,3.28,12.1,3.9,0.89,3.04,49037.34
0,7.19,23.01,82.26,3.87,9.7,3.21,0.95,2.11,43898.84
1,5.76,9.84,79.52,3.18,10.63,5.17,1.5,2.13,49923.9
0,20.78,17.54,84.44,4.28,4.28,6.54,0.46,0.47,30565.88
0,12.55,35.13,81.28,4.36,7.92,5.44,1.01,2.35,35736
0,7.04,21.63,73.33,4.89,15.9,5.01,0.87,2.5,52772.15
0,5.13,32.45,80.36,4.73,9.94,4.03,0.94,1.41,56959.03
0,32.11,43.72,43.35,7.26,16.23,31.24,1.91,2.31,24298.65
0,43.02,114.81,35.81,8.34,20.37,33.35,2.13,3.75,25793.73
0,28.48,79.94,34.47,9.83,13.13,40.32,2.24,4.84,27801.86
1,30.38,50.73,37.54,11.29,7.86,41.15,2.15,4.51,25526.03
0,28.38,105.9,36.93,10.45,9.85,40.1,2.68,5.58,26128.49
0,41.45,80.43,32.21,8.86,15,41.86,2.07,6.4,23884.96
0,44.37,78.33,29.37,6.98,27.2,32.06,4.4,1.2,23053.01
1,28.88,89.93,34.66,9.57,18.76,35.1,1.91,7.53,26358.3
1,27.45,172.83,26.95,7.75,33.61,29.55,2.14,3.39,26060.81
0,40.48,102.37,34.43,9.3,19.82,34.06,2.39,1.73,23110.09
1,8.87,21.26,89.93,1.36,3.88,3.95,0.88,0.35,41531.52
0,10.03,42.89,77.83,3.48,9.5,8.55,0.63,1.23,37850.88
0,7.24,5.66,83.79,2.06,10.7,2.37,1.07,0.2,50317.92
0,9.53,12.56,69.72,3.05,18.58,8.06,0.58,2.12,51334.8
0,9.24,20.73,79.59,3.1,9.97,6.21,1.12,0.99,47044.77
0,5.84,25.87,84.62,2.86,9.41,2.8,0.32,0.98,53236.61
0,12.06,42.52,73.15,2.79,16.3,6.42,1.33,1.63,39749.89
1,6.81,63.06,85.02,4.21,5.71,4.49,0.57,0.99,39609.74
1,9.41,48.92,76.48,3.36,10.64,8.4,1.12,0.86,44405.85
0,34.86,73.97,54.56,4.97,11.11,27.56,1.8,0.18,24961.45
0,4.63,50.03,79.73,3.85,8.45,6.87,1.1,1.18,49011.65
0,37.16,130.7,38.63,7.88,11.77,39.92,1.8,0,21595.95
0,12.69,99.39,79.33,3.2,7.81,8.32,1.34,0.72,32862.52
0,9.26,34.45,77.32,3.55,11.34,6.28,1.5,2.57,41722.87
0,11.33,39.39,75.59,4.24,12.33,7,0.83,3.46,37952.67
0,9.9,44.62,73.41,5.32,13.36,6.56,1.36,2.24,39225.82
0,8.6,38.11,72.17,4.92,13.37,8.02,1.52,1.41,43341.3
0,32.9,70.39,42.71,9.36,12.5,33.09,2.34,4.04,24536.31
0,23.5,53.24,62.41,8.08,9.33,19.05,1.13,3.1,33033.75
0,18.6,58.27,65.17,8.22,7.71,18.14,0.76,1.4,37069.17
0,19.59,90.62,44.94,7.18,10.8,34.89,2.18,0.86,29966.29
0,21.72,47.21,55.3,9.98,6.7,26.1,1.92,1.4,29816.62
0,27.47,81.22,42.22,8.67,8.35,39.25,1.52,1.56,26731.98
0,21.44,55.01,47.9,6.23,8.19,37.48,0.2,4.76,34886.98
0,30.18,91.37,41.16,7.99,7.62,41.32,1.91,2.75,26523.09
0,37.1,136.52,39.09,10.46,9.56,39.33,1.55,2.45,24880.44
0,39.93,128.92,36.71,10.79,12.75,38.43,1.3,2.53,21435.1
1,19.75,126.25,29.1,8.61,11.27,50.28,0.74,1.62,28474.22
0,34,83.08,32.92,9.19,16.34,39.89,1.66,4.02,24422.67
0,23.16,115.19,35.77,6.57,12.15,43.96,1.55,1.9,28646.64
0,16.06,115.18,39.31,7.38,8.33,42.94,2.04,1.59,30140.58
0,20.55,61.46,40.24,9.61,9.37,38.91,1.87,4.62,33287.56
0,40.84,98.32,37.94,9.75,14.19,36.19,1.94,2.61,24517.38
0,37.17,99.65,29.26,9.22,17.89,42.13,1.5,3.16,25572.03
0,22.67,113.72,26.87,9.7,14.52,45.89,3.03,1.66,28696.03
0,28.93,115.38,31.84,8.02,14.12,43.32,2.69,2.13,25685.35
0,43.81,120.5,25.83,6.92,18.71,45.1,3.43,1.93,22496.88
0,26.23,62.99,55.59,7.8,10.07,24.91,1.63,3.22,29424.81
0,18.18,51.97,41.87,5.58,24.08,26.66,1.82,2.69,34669.95
0,20.44,78.94,51.47,8.57,7.61,31.39,0.96,1.69,28849.2
0,14.46,46.59,51.3,7.22,16.49,22.88,2.11,2.63,34172.14
1,13.74,60.5,31.21,5.26,37.43,22.86,3.24,1.72,35797.63
0,42.57,63.84,34.13,7.79,21.47,33.96,2.65,0.7,23584.03
0,28.35,58.2,53.02,9.05,7.95,27.03,2.96,1.41,28856.68
0,16.31,72.15,54.51,8.25,10.16,24.24,2.84,2.68,33243.36
1,20.49,114.61,65.79,8.09,9.3,15.24,1.58,2.04,33432.12
0,24.16,94.35,56.28,6.7,13.35,21.32,2.36,2.03,30211.42
1,32.15,106.83,56.28,8.99,12.13,19.74,2.87,5.65,25104.35
0,21.83,40.37,51.44,7.43,18.97,19.06,3.1,1.31,30489.49
0,21.18,78.49,58.55,8.46,14.05,16.87,2.07,3.14,33058.69
0,32.7,80.5,54.94,7.32,15.12,21.13,1.49,1.21,24799.87
0,27.09,82.94,58.88,7.32,13.8,17.12,2.88,4.54,29112.33
0,24.57,55.6,52.5,6.47,18.86,20.76,1.4,1.16,28377.15
0,43.06,28.9,56.12,7.84,13.56,19.85,2.63,5.95,22940.77
0,19.77,26.63,54.51,7.07,16.52,19.13,2.77,2.33,30979.77
0,22.45,73.83,20.56,4.81,42.78,28.64,3.21,2.06,28310.12
0,30.6,103.17,24.32,6.55,29.96,37.16,2.01,1.86,26733.93
0,22.75,75.73,17.03,6.99,44.53,28.86,2.58,1.88,27133.41
0,31.6,56.54,26.35,6.43,37.48,27.46,2.29,1.25,25279.28
0,58.17,81,29.74,6.96,24.25,35.24,3.81,2.7,20353.28
0,20.71,139.27,26.14,5.28,42.5,24.45,1.63,1.65,28385.95
0,27.84,115.96,26.19,6.85,38,26.42,2.53,2.4,25530.81
0,42.45,134.41,28.16,8.47,27.72,32.04,3.61,2.94,23291.65
0,21.65,106.99,25.32,5.2,38.47,29.47,1.55,4.55,29149.89
0,24.13,118.36,15.14,7.38,41.92,32.44,3.12,3.17,26172.61
1,16.91,69.79,20.98,5.49,37.29,34.1,2.15,1.08,30321.91
0,19.99,82.7,58.56,8.74,8.8,22.13,1.77,2.32,28999.76
0,29.07,101.44,43.09,8.42,9.23,37.25,2.01,2.1,26468.62
0,20.61,118.41,49.41,10.39,12.39,26.02,1.8,1.94,27655.59
0,28.15,99.89,41.24,9.06,10.09,38.41,1.2,2.02,26505.05
0,17.72,105.85,47.81,9.08,11.73,29.89,1.49,2.11,31121.58
0,27.44,62.89,41.36,10.09,7.06,39.66,1.83,0.96,29504.94
0,34.93,122.92,36.79,9.98,8.84,40.59,3.8,7.11,24730.31
0,27.77,97.58,42.88,9.98,6.02,40.57,0.55,2.55,26274.73
0,34.36,102.21,37.69,13.12,13.23,34.92,1.05,1.19,26027.92
1,18.25,29.86,51.84,7.95,6.55,32.25,1.4,2.65,32131.06
0,13.99,45.4,48.34,3.55,24,7.26,16.86,3.55,35078.9
0,38.04,76.18,50,7.87,13.93,18.97,9.23,2.31,24270.4
1,22.6,44.11,57.62,4.22,23.27,7.93,6.96,4.98,34568.9
0,14.82,140.31,71.39,6.32,7.99,10.21,4.1,3.79,37399.21
0,22.25,171.55,61.21,5.75,11.8,13.91,7.34,2.25,32722.99
0,15.98,110.72,67.48,4.42,12.66,8.77,6.66,3.62,40520.53
0,17.65,137.03,73.54,6.21,10.31,6.73,3.2,2.58,41982.66
0,33.79,135.68,53.21,5.33,16.18,14.62,10.66,3.86,27046.09
0,32.76,187.31,63.61,5.71,11.36,10.09,9.23,2.93,27754.11
0,13.68,92.16,66.71,5.41,16.11,5.79,5.98,1.68,48503.81
0,31.01,62.14,52.73,5.77,16.23,18.54,6.74,1.81,28426.57
0,42.32,108.61,33.72,6.88,17.21,34.42,7.76,3.16,22767.46
0,16.21,99.69,71.91,4.84,12.23,6.56,4.46,3.75,45009.45
0,11.84,25.29,76.57,4.69,10.47,3.15,5.12,1.58,56279.64
0,7.11,61.47,79.61,4.61,9.11,2.39,4.26,1.67,59468.09
0,50.71,72.29,44.85,6.02,21.92,18.4,8.81,0.54,23347.86
0,10.4,92.79,73.44,5.35,12.57,3.58,5.05,1.95,49243.52
1,13.45,59.02,71.15,3.54,14.94,3.72,6.66,2.81,50728.16
0,28.16,120.99,9.13,2.3,75.63,7.87,5.08,2.71,23618.11
0,15.94,73.49,8.69,0.8,77.42,6.17,6.92,4.02,27930.89
0,30.2,105.81,9.92,3.17,73.48,8.56,4.87,8.15,23910.04
1,22.18,113.9,13.49,2.17,70.72,9.02,4.6,0.83,28304.37
0,16.08,80.58,26.97,3.77,54.71,10.4,4.16,3.19,29473.12
0,36.31,72.1,33.33,4.09,37.11,20.02,5.45,1.98,23303.24
0,36.02,117.14,20.14,4.3,37.63,32.11,5.82,0.88,20521.2
0,47.75,14.62,21.54,4.84,37.71,30.28,5.63,3.88,18906.77
0,24.07,65.84,69.37,5.7,17.89,2.69,4.35,4.32,41316.72
0,21.85,132.4,61.62,5.87,18.12,8.39,6,4.64,35690.52
0,11.67,64.49,74.03,3.43,16.88,2.7,2.97,2.87,57045.32
0,9.15,66.76,81.68,5.2,8.73,1.61,2.78,2.56,63907.22
0,21.71,74.14,67.43,5.08,17.26,5.14,5.08,4.27,49479.96
1,13.36,68.54,66.64,5.47,16.87,6.19,4.82,4.3,48370.43
0,10.29,86.06,70.08,5.35,17.97,2.91,3.7,2.27,58755.69
0,11.4,70.67,69.26,4.91,16.78,4.36,4.69,3.77,47577.95
1,30.23,74.98,65.7,7.49,10.91,11.1,4.8,1.97,28769.68
0,21.26,76.42,74.4,5.38,9.74,7.8,2.69,2.63,54732.14
0,13.85,46.5,62.27,3.54,21.76,2.84,9.59,2.93,48308.91
0,23.75,71.08,65.54,5.92,15.73,8.06,4.75,1.29,39618.32
0,23.84,82.71,68.75,4.35,15.66,8.08,3.16,2.76,35896.56
0,22.92,44.72,64.31,7.28,16.92,6.57,4.93,3.76,40437.48
0,14.23,58.54,69.25,4.32,17.53,4.45,4.45,3.76,54097.62
0,16.28,109.14,67.86,5.22,15.6,8.49,2.83,2.5,46624.52
0,17.02,65.85,79.47,3.58,11.49,2.76,2.7,2.98,55691.55
0,24.53,79.85,45.43,6.52,20.68,15.2,12.17,6.15,27579.15
0,32.66,37.55,43.71,7.78,15.18,26.2,7.13,1.78,26825.41
0,20.45,81.86,48.36,6.32,18.7,15.23,11.39,2.85,27987.03
0,22.2,43.66,51.37,5.73,15.92,8.19,18.79,4.73,30063.24
0,26.91,73.05,51.89,3.78,12.23,11.55,20.55,6.6,32091.61
0,25.38,85.4,45.92,4.42,14.87,18.83,15.96,1.82,27803.59
1,28.86,122.65,43.91,4.77,21.9,19.69,9.73,4.52,26628.5
0,15.44,175.63,65.78,5.54,14.68,9.61,4.39,4.3,38534
0,32.02,13.95,52.13,7.28,11.32,22.43,6.84,2.19,27082.59
0,21.28,19.6,54.01,5.99,19.72,10.65,9.63,1.89,29973.62
1,17.39,22.48,64.2,5.09,17.09,8.86,4.77,2.52,36617.89
0,41.53,141.39,48.52,5.91,20.42,17.81,7.34,3.76,26775.24
0,37.12,83.34,60.56,4.21,14.8,14.55,5.88,3.63,27653.18
0,18.71,88.54,71.52,3.99,13.36,7.86,3.26,2.95,38452.55
0,25.65,111.2,64.19,5.42,16.41,9.8,4.18,3.27,31129.29
0,15.65,104.29,72.04,4.85,11.58,8.31,3.21,2.47,35293.65
0,14.59,82.4,78.64,6.23,7.54,5.34,2.26,4.94,41932.05
0,13.46,89.8,69.38,5.78,14.97,8.39,1.49,2.25,47748.95
0,40.83,109.83,41.11,6.84,24.34,22.43,5.27,0.9,20935.63
0,15.86,78.9,47.81,4.32,31.12,11.18,5.56,4.08,28749.42
0,20.12,56.5,43.93,2.88,38.37,9.75,5.08,2.3,27796.66
0,20.74,71.8,44.18,2.84,36.7,7.37,8.9,4.35,29410.39
0,22.67,51.73,44.44,4.36,32.51,12.03,6.66,4.41,27311.71
0,31.33,62.81,47.11,5.59,23.3,19.22,4.77,1.06,25660.95
0,34.49,50.41,42.46,5.26,27.69,19.02,5.56,1.82,25111.53
1,24.4,53.69,50.63,4.77,24.17,13.23,7.19,2.86,26998.94
0,20.57,35.1,53.01,5.5,26.3,10.46,4.73,2.49,28893.95
1,16.11,25.02,48.64,3.33,30.35,8.41,9.28,1.53,32803.37
0,31.85,51.39,48.39,4.66,25.5,15.82,5.63,3.55,26422.11
0,18.54,57.82,59.22,4.26,20.74,6.45,9.33,3.23,36918.34
0,13.56,69.46,49.72,3.48,29.9,11.3,5.6,2.86,31094.51
0,15.65,60.14,52.3,3.66,26.61,12.9,4.53,1.91,32822.54
0,16.88,57.36,48.45,2.49,32.32,13.14,3.6,3.26,29681.5
0,19.06,30.36,48.53,3.38,30.77,10.26,7.06,3.21,32402.05
0,9.46,41.85,50.89,4.44,32.84,3.08,8.75,5.09,56552.26
0,8.49,60.05,36.75,5.28,42.76,3.13,12.09,4.72,51107.77
0,19.04,54.43,65.18,5,16.1,9,4.73,3.05,44651.26
0,20.56,52.21,54.08,3.86,19.35,7.66,15.04,1.21,30943.16
0,17.54,35.62,52.17,5.59,25.98,4.93,11.33,2.34,36636.3
0,23.77,43.56,47.15,3.16,29,5.91,14.78,5.09,36594.15
0,7.15,57.92,70.88,3.94,15.34,1.77,8.08,2.42,62365.26
0,13.69,46.59,59.48,5,19.77,4.83,10.92,3.46,45335.67
1,7.46,55.98,78.69,4.75,10.75,2.19,3.63,1.11,60760.37
0,35.01,100.53,58.77,5.78,16.38,12.4,6.68,2.03,25847.14
0,40.09,60.84,56.68,6.27,16.87,12.1,8.09,1.79,24617.21
0,15.75,32.76,68.55,4.68,15.85,6.82,4.09,3.24,40019.36
0,23.18,83.21,61.42,7.46,14.26,12.25,4.62,3.44,30397.31
0,23.53,76.92,62.72,5.56,15.95,10.69,5.08,2.52,29838.85
0,31.22,157.92,42.52,5.43,18.51,27,6.54,1.83,26673.04
1,16.02,83.34,68.62,6.94,11.75,8.74,3.94,1.12,40808.57
0,15.53,106.94,68.4,5.86,13.23,9.69,2.82,2.26,41737.48
0,12.68,38.65,71.01,4.85,13.25,7.49,3.39,2.25,41024.76
0,19.37,96.02,26.37,3.47,51.46,11.08,7.61,1.39,27704.34
0,13.86,89,28.51,5.33,48.07,11.24,6.85,1.95,31102.5
0,17.36,112.62,15.27,2,64.39,10.89,7.45,4.4,27482.7
0,22.49,62.73,10.35,3.17,74.13,5.23,7.13,3.76,27090.4
0,17.22,112.56,11.45,2.35,74.32,6.52,5.37,0.57,28147.29
0,22.01,93.55,15.19,3.04,66.85,7.02,7.9,3.35,26410.03
1,23.36,72.4,10.64,1.38,76.57,5.24,6.17,4.07,26113.29
0,27.97,109.52,15.82,3,67.58,8.48,5.12,3.64,24512.15
0,8.01,78.56,74.96,5.13,13.8,4.2,1.91,1.66,49239.61
0,8.87,118.1,77.96,5.38,11.47,3.19,2.01,1.94,56031.36
0,20.03,69.11,72.5,4.15,15.1,6.06,2.19,4.85,40848.52
0,11.7,48.65,75.2,5.49,12.15,5.8,1.36,2.07,47629.16
0,9.91,104.29,80.41,5.19,8.85,2.81,2.75,1.89,54080.25
0,14.07,141.66,77.14,4.55,10.57,5.16,2.58,3.42,46741.63
1,7.67,114.8,76.4,2.74,13.87,4.14,2.86,2.01,54176.26
0,8.31,104.82,80.58,4.79,10.27,2.61,1.74,1.79,51313.88
0,11.1,32.73,49.1,3.11,32.46,10.86,4.47,0.94,33946.23
1,11.39,18.2,37.22,3.33,45.49,7.79,6.17,1.59,36632.79
0,15.08,55.73,45.08,3.61,35.57,12.13,3.61,2.54,30652.23
0,18.59,78.96,43.03,4.72,31.15,18.16,2.94,2.36,29989.85
0,28.94,66.03,51.54,4.27,25.79,13.64,4.76,1.49,25647.82
0,16.66,90.78,39.15,2.12,45.41,8.1,5.22,4.07,30439.14
