Index_of_Multiple_Deprivation_Score,Age_65,Children_15,Road_density,Street_network_density,Household_spaces_with_at_least_one_usual_resident,Traffic_light_density,Distance,FirstPumpArriving_AttendanceTime,Winter,Commute,Weekend,Fire_Station_number
6.82,221,250,3.121376433,15.27300496,517,0,1724.397954,367.025641,14.1025641,25.6410256,30.7692308,2
5.577,457,272,5.473115729,36.54897227,776,0.335311672,3806.110924,453.5522388,15.6716418,24.6268657,31.3432836,4
20.773,227,296,17.40729259,216.8674699,866,24.09638554,1215.437867,276.6411765,24.1176471,25.2941176,29.4117647,2
6.541,331,289,8.717625597,87.07529452,656,0,2556.686972,408.4736842,23.6842105,31.5789474,26.3157895,1
7.31,414,261,6.530068875,55.85778123,637,0,2425.712249,438.0903226,16.7741935,23.2258065,30.3225806,4
20.128,99,296,14.09386917,95.23809524,648,7.326007326,1629.97182,289.0520833,23.9583333,23.9583333,30.2083333,5
7.53,387,211,13.48267636,139.2342118,702,0,1538.179739,334.02,23,22,26,4
16.178,291,204,12.666742,120.5673759,590,0,2631.06358,447.9943925,20.5607477,26.5420561,33.6448598,2
40.937,213,447,14.81805937,115.2073733,824,3.840245776,2864.843378,396.4571429,19.6428571,23.2142857,33.2142857,2
17.48,166,329,16.54224721,176.9911504,949,5.530973451,2478.539079,375.2975207,17.3553719,21.4876033,37.1900826,5
20.247,292,423,2.828976,16.40978144,773,0,3725.445658,516.6885246,13.1147541,22.9508197,34.4262295,2
6.135,518,328,8.280883017,72.35557597,750,0,3301.228966,458.6,13.0434783,32.173913,30.4347826,2
3.044,308,357,12.50584196,86.65041971,645,0,3223.298389,474.7603306,9.9173554,40.4958678,34.7107438,4
23.938,169,270,5.958909919,56.6006326,454,0,1788.976868,334.37,30,34,34,4
31.622,201,307,13.21635893,80.83689967,609,0,2709.551996,423.3985507,16.6666667,18.8405797,34.057971,4
22.391,365,215,13.98880106,126.0257913,667,0,1109.70826,273.0989583,18.75,25,28.125,1
13.477,170,289,9.427907755,82.40500534,679,1.526018617,1889.435116,322.8037975,24.6835443,21.5189873,24.6835443,6
4.284,310,241,10.36528053,60.75843285,564,0,2887.174319,424.7818182,10.9090909,29.0909091,23.6363636,1
14.081,217,281,14.08684388,138.7054161,592,0,1570.430143,331.2692308,21.1538462,22.1153846,30.7692308,7
3.748,305,323,11.17053731,55.61172902,544,0,1645.605403,318.1842105,13.1578947,34.2105263,36.8421053,4
4.549,317,291,16.9255837,178.6237189,606,2.928257687,3051.313914,405.2258065,24.1935484,35.483871,22.5806452,4
22.13,212,375,24.16176607,253.929867,616,0,1833.0986,323.2692308,29.4871795,25.6410256,32.0512821,9
15.832,145,217,27.0073119,249.072602,718,132.4854266,963.8005805,271.3556701,26.2886598,22.6804124,17.0103093,14
31.404,109,351,21.87604524,202.190396,628,84.24599832,1698.632099,314.0352941,22.3529412,22.3529412,30.5882353,11
26.832,172,269,17.49560459,134.175217,774,47.35595896,1036.090991,281.6237624,25.7425743,22.7722772,27.7227723,10
29.94,167,321,15.29271912,111.3013699,800,8.561643836,999.8334707,238.671875,21.875,26.5625,23.4375,7
5.647,247,192,10.97410677,109.3180635,550,20.82248829,1038.860518,269.6792453,18.8679245,30.1886792,30.1886792,8
9.126,170,272,16.59990799,145.4898157,606,0,1437.923176,295.238806,23.880597,13.4328358,26.8656716,8
5.398,243,312,15.10393971,131.3131313,721,5.050505051,1684.065685,369.3980583,24.2718447,29.1262136,27.184466,9
10.421,218,152,18.12219874,174.4186047,788,65.40697674,1344.649244,305.8285714,27.1428571,28.5714286,22.8571429,8
22.316,226,260,3.612114487,25.66677826,700,2.231893762,1303.599588,280.965812,29.9145299,25.6410256,38.4615385,10
19.491,147,236,24.36990714,224.0325866,881,13.57773252,1177.264118,300,22.0973783,27.7153558,27.340824,14
17.412,111,254,23.8852388,248.9177489,698,10.82251082,619.4668316,222.2123288,27.3972603,28.0821918,28.0821918,10
35.446,238,309,19.50132808,103.3295063,732,0,1499.606932,322.0973451,27.4336283,30.9734513,30.0884956,8
15.339,115,105,20.80354744,178.0821918,686,123.2876712,1080.525962,281.4649123,23.6842105,20.1754386,35.9649123,13
14.777,204,214,11.80035245,110.3617413,715,26.56856734,1240.928591,291.0718563,24.5508982,22.1556886,33.5329341,15
33.601,88,345,18.02117781,182.6196474,608,81.86397985,1090.174775,285.2340426,20.7446809,20.7446809,29.787234,14
6.968,141,216,9.864729126,23.00613497,675,0,1736.94216,330.8974359,21.7948718,25.6410256,26.9230769,8
14.268,144,169,17.95430998,159.5092025,760,0,775.3580625,223.8631579,20,21.0526316,33.6842105,7
8.842,377,255,13.62751918,154.6045261,662,0,1224.856625,283.9157895,21.0526316,22.1052632,27.3684211,5
12.212,205,331,15.25013722,115.6421181,616,0,1154.151163,248.4342105,26.3157895,21.0526316,39.4736842,5
22.343,189,310,21.64650424,225.5639098,471,0,1869.562369,305.9482759,16.3793103,31.0344828,32.7586207,6
30.289,148,645,13.68900621,126.1289318,1186,9.342883837,1124.211069,278.7587719,24.122807,19.2982456,34.2105263,6
14.363,310,344,6.643744531,41.0383661,665,0,3557.182451,427.8714286,21.4285714,24.2857143,34.2857143,2
8.041,297,295,6.027980434,23.04832714,642,0,2209.610981,318.5714286,23.8095238,29.7619048,27.3809524,1
3.765,354,234,10.71191058,66.52227723,520,0,3574.676709,468.3333333,13.6363636,39.3939394,30.3030303,5
18.538,130,257,14.71639086,177.7777778,941,0,2049.715211,318.5652174,18.8405797,32.6086957,26.0869565,5
9.773,249,324,19.45007442,260.2040816,850,0,1774.27357,335.7555556,11.1111111,22.2222222,22.2222222,5
22.047,383,284,15.67176148,200.1291156,802,12.91155584,1736.42694,316.0882353,16.6666667,28.4313725,31.372549,6
37.89,104,705,17.691005,167.850226,593,0,1107.216195,258.7532468,18.1818182,21.4285714,25.974026,1
18.325,191,399,12.52568161,133.1689273,828,12.33045623,1525.869454,300.9152542,14.4067797,32.2033898,32.2033898,3
11.58,209,345,9.91601417,89.52551477,646,0,2782.046494,444.55,16.6666667,21.6666667,33.3333333,3
36.214,182,443,13.81109555,110.7226107,581,0,1850.03977,302.244186,20.3488372,24.4186047,25,2
15.404,236,302,15.49089581,150.3288443,562,0,722.9184601,192.4623656,16.1290323,24.7311828,40.8602151,7
5.761,236,333,4.788011012,27.53691118,642,0,2383.359387,337.5925926,16.6666667,29.6296296,20.3703704,4
30.378,160,414,10.94247861,109.6121417,763,0,2232.567435,366.1986755,21.192053,28.4768212,34.4370861,5
28.878,107,338,18.39447491,170.9943002,528,6.333122229,2129.320253,350.3255814,20.1550388,22.4806202,31.0077519,6
27.454,206,633,19.39974714,246.9844917,1113,5.743825388,1863.932156,290.2216216,22.7027027,24.8648649,24.3243243,6
8.868,224,252,5.261235821,56.60377358,576,0,1953.874783,384.3035714,14.2857143,23.2142857,25,3
6.813,271,228,16.75471367,136.4877161,598,0,2223.143359,364.5308642,12.345679,30.8641975,34.5679012,3
9.41,254,282,15.45980132,115.2562936,574,0,2955.314643,401.0229885,16.091954,24.137931,28.7356322,4
19.749,154,368,19.42403559,121.3960546,607,0,1930.958061,343.3664596,19.2546584,33.5403727,31.6770186,5
13.743,252,343,12.99664097,65.42056075,627,0,1310.742082,261.3536585,21.9512195,10.9756098,26.8292683,5
20.492,95,319,22.80203833,311.9868637,962,38.31417625,1809.527099,311.1949153,16.1016949,29.6610169,28.8135593,5
32.149,160,412,21.91429926,227.6607854,835,22.76607854,1242.021219,304.1621622,20.5405405,21.0810811,28.1081081,5
16.909,180,283,12.5831373,116.5871754,456,0,1905.128492,282.2125,23.125,16.25,22.5,6
18.25,120,376,5.037881211,23.95871729,624,0,1465.604721,324.2741935,25.2688172,29.5698925,34.4086022,7
22.602,216,399,9.69625415,66.98089804,668,0,1110.117405,258.6140351,17.5438596,22.8070175,28.9473684,9
13.453,356,251,16.51541111,224.1681261,691,0,1804.308281,343.3265306,19.3877551,19.3877551,34.6938776,7
22.184,200,311,19.54644951,254.0578687,476,7.05716302,1273.075961,276.7190083,14.0495868,24.7933884,29.7520661,5
13.363,257,224,12.7112139,157.0680628,668,0,944.6974689,231.7682119,18.5430464,33.7748344,31.7880795,6
30.226,187,307,17.76623653,142.296369,597,14.72031403,1425.740404,275.3092784,18.556701,23.7113402,25.7731959,7
28.857,211,489,15.5121119,154.422087,1099,4.679457183,1830.193563,349.2268519,20.8333333,25.462963,24.537037,11
17.386,256,289,7.290007545,66.02641056,581,0,1658.561142,294.0434783,24.3478261,28.6956522,33.9130435,6
24.398,233,402,15.20628232,144.9275362,612,0,2516.230998,389.357513,18.134715,23.8341969,29.5336788,4
16.109,232,327,9.172303694,73.65980085,578,5.456281544,2027.283097,372.1338583,24.4094488,25.1968504,33.8582677,5
7.459,292,345,13.90855916,118.1375956,625,0,2057.714486,415.6415094,18.8679245,27.3584906,26.4150943,6
16.018,129,350,12.61135585,92.53903991,531,5.783689994,2203.529761,385.4555556,17.7777778,25.5555556,27.7777778,6
23.36,179,377,17.57481961,331.4696486,495,0,1542.948551,308.8536585,15.8536585,26.8292683,29.2682927,4
7.673,214,341,18.94311632,172.5282017,634,0,1933.696747,326.4698795,21.686747,34.939759,30.1204819,6
11.391,326,343,4.176300409,32.39157819,679,2.699298182,1470.246402,304.6031746,15.8730159,21.4285714,29.3650794,7
23.866,166,337,9.474702471,66.03081438,627,1.834189288,1620.98977,302.4180791,15.819209,24.8587571,26.5536723,5
33.051,195,442,8.414822325,72.96311309,674,4.053506283,2918.218567,417.1483871,18.7096774,22.5806452,26.4516129,3
24.895,221,294,11.16871044,126.2825572,519,0,1730.418329,383.8535032,19.1082803,29.2993631,29.9363057,5
12,238,395,23.14217848,191.4708442,634,0,2294.589812,433.1472868,14.7286822,18.6046512,27.9069767,5
45.936,225,545,17.68939265,298.3293556,841,0,975.8078572,248.8551724,22.0689655,25.5172414,24.8275862,8
24.895,224,507,20.22079427,128.1085154,562,0,1056.777518,252.7828054,13.1221719,26.6968326,27.60181,5
31.007,113,388,16.82909383,186.6251944,493,0,1823.983329,352.6503067,25.7668712,26.993865,30.6748466,5
18.031,157,237,20.93495195,192.8471248,738,7.012622721,1259.173327,317.8125,20.3125,32.8125,34.375,10
8.565,189,316,16.5977066,162.2971286,667,0,1046.99554,249.4333333,25.5555556,22.2222222,24.4444444,6
24.623,174,378,18.16771101,140.5152225,783,13.38240214,2476.282442,405.9553571,21.4285714,26.7857143,35.7142857,5
24.464,193,338,16.35470618,137.1876531,675,0,1701.72943,349.8571429,18.3673469,24.4897959,37.755102,4
18.518,214,365,6.487129047,47.48982361,613,0,2965.800782,444.1987952,19.8795181,22.8915663,28.9156627,2
7.863,287,333,5.945742292,49.200492,559,0,2853.03718,398.4932432,17.5675676,27.027027,35.1351351,2
41.035,144,477,11.04849601,77.87151201,628,0,1581.05833,344.7156863,26.1437908,23.2026144,31.6993464,5
35.255,169,641,20.68434072,281.0862315,790,28.5850405,1423.741626,313.8412698,16.9312169,22.2222222,29.6296296,3
5.686,208,318,12.55024965,67.59294029,481,0,2371.804171,390.6818182,22.7272727,25,32.9545455,3
40.254,127,458,22.64350621,214.8557397,664,0,1000.03634,272.239726,19.8630137,26.7123288,32.1917808,6
13.064,326,230,11.70147807,106.2726801,840,0,3457.461289,448,14.4736842,26.3157895,35.5263158,3
24.503,220,319,13.65769318,109.2896175,516,0,1887.599818,347.2222222,15.5555556,24.4444444,35.5555556,3
30.484,160,519,22.35701394,174.904943,663,0,1493.210287,302.2647059,28.6764706,24.2647059,30.8823529,6
23.466,211,328,22.58879507,201.7716535,531,0,2411.712025,358.9491525,19.4915254,16.9491525,39.8305085,5
47.177,59,515,11.57045763,73.13829787,610,0,1884.993268,334.2336957,17.9347826,23.3695652,33.1521739,3
28.911,205,465,14.15882881,143.2490094,648,24.38281012,1420.354546,305.2054795,26.0273973,24.6575342,36.9863014,3
13.242,252,410,19.05077712,241.1347518,1141,0,1336.198885,257.7304348,17.3913043,26.9565217,26.9565217,4
11.197,278,283,12.51159013,116.5096678,588,0,1756.484717,325.1061947,16.8141593,27.4336283,32.7433628,6
11.559,255,385,19.28759544,205.2631579,709,0,2110.631157,349.2666667,20,30.6666667,41.3333333,2
26.37,284,372,18.98362144,181.8181818,659,7.130124777,1926.81474,322.4904459,19.1082803,24.2038217,35.0318471,1
19.27,215,320,18.01969874,235.0230415,543,4.608294931,2182.252278,384.5530973,17.699115,22.5663717,32.300885,5
17.923,255,394,11.6061749,135.2680767,751,9.837678308,2071.979752,357.9294118,18.8235294,31.7647059,31.7647059,4
17.934,138,383,19.37189785,168.8048616,615,0,1820.288997,344,13.8461538,23.0769231,30,4
12.083,241,302,13.93860012,134.9872309,921,0,1693.360363,330.2454545,25.4545455,24.5454545,36.3636364,10
23.247,228,523,10.92030723,81.10300081,693,0,1274.685583,343.1735537,20.661157,23.1404959,33.0578512,10
15.157,241,280,15.08108804,101.7890191,607,12.33806292,2094.908178,336.1439394,27.2727273,20.4545455,31.8181818,5
12.889,268,303,22.17100714,221.819828,707,0,1224.010452,259.5462963,24.0740741,17.5925926,31.4814815,7
8.775,370,219,5.676157739,46.11615507,738,0,1565.48814,297.4012346,14.8148148,19.7530864,27.1604938,5
25.682,149,326,15.39273776,168.1345076,593,0,1128.30156,276.0294118,22.3529412,25.8823529,33.5294118,5
17.489,262,245,15.02581785,127.7715145,681,0,2086.227693,350.3076923,27.3504274,25.6410256,23.0769231,9
18.273,247,230,13.41756551,148.5507246,582,0,1387.873295,305.3939394,16.6666667,21.7171717,33.8383838,8
28.338,105,505,20.77824909,182.6484018,646,0,951.524128,251.1840796,14.4278607,23.880597,26.8656716,4
8.857,277,292,8.662498958,65.73541495,618,0,2023.057214,400.5759494,15.1898734,31.6455696,37.3417722,5
23.517,160,354,23.55822112,207.4391989,615,0,2053.938557,366.943662,25.3521127,23.943662,30.5164319,3
31.332,189,549,16.13315343,149.7005988,935,11.9760479,1981.577007,317.0056338,21.6901408,20.2816901,28.7323944,7
44.248,118,285,10.7872737,166.2234043,632,13.29787234,1574.274875,307.6068376,18.8034188,20.5128205,24.7863248,9
27.475,62,271,20.94291997,235.4145343,427,51.17707267,1240.988564,321.1525424,23.7288136,25.4237288,33.8983051,10
32.84,66,401,32.69535227,355.0295858,464,19.72386588,1156.575384,249.0131579,22.3684211,25,25,10
31.157,107,471,22.52793245,265.2825836,1033,109.5732411,601.2539897,225.2291667,25,28.4722222,27.7777778,14
28.995,127,333,21.10682745,255.7953637,789,0,973.4519249,263.2547771,28.6624204,17.8343949,26.1146497,13
32.017,198,314,19.05570428,184.9112426,786,22.18934911,1774.532551,333.1868132,32.967033,24.1758242,26.3736264,12
35.266,78,508,29.97089845,448.0651731,632,40.73319756,1299.754792,301.469697,24.2424242,28.7878788,28.7878788,11
23.435,161,222,20.74535089,184.9568434,987,49.32182491,1763.170844,315.1587302,39.6825397,20.6349206,31.7460317,13
27.09,100,216,14.94922311,126.493324,820,21.08222066,1361.129258,300.6923077,23.9316239,19.6581197,37.6068376,13
33.95,104,313,14.78009805,84.98583569,628,18.88574127,1125.426436,280.8659794,21.6494845,22.6804124,32.9896907,11
38.594,138,374,25.59463914,195.4397394,863,16.28664495,895.6858733,278.7131148,22.9508197,21.3114754,27.0491803,16
26.639,140,330,22.70374192,276.3157895,797,0,938.7933268,261.8953975,25.9414226,22.1757322,33.4728033,15
32.227,104,399,14.53985753,163.3045149,500,0,987.5204298,267.5773196,13.4020619,29.8969072,30.9278351,13
28.427,79,268,21.21751411,119.8257081,737,0,1379.073907,307.93,21,24,30,12
26.539,92,573,15.07091174,103.7735849,485,0,1054.035234,281.3504274,15.3846154,25.6410256,25.6410256,11
30.857,95,677,23.79009923,291.3385827,558,62.99212598,1560.204872,318.8163265,21.9387755,18.877551,20.9183673,9
41.027,150,275,18.71947761,330.1886792,599,0,1427.637765,293.1241379,23.4482759,19.3103448,36.5517241,14
16.477,111,366,21.42432738,206.09319,696,35.84229391,684.9043342,238.3070175,26.3157895,23.6842105,21.0526316,12
39.524,77,378,26.8700998,216.7182663,631,30.95975232,1211.800543,328.9711538,15.3846154,25,28.8461538,14
42.961,115,561,14.79846875,112.5175809,676,28.12939522,1003.093457,284.2477064,24.7706422,20.1834862,31.1926606,12
31.549,93,323,20.5248142,169.286578,730,48.36759371,873.6429563,220.8709677,33.8709677,17.7419355,33.8709677,10
30.675,180,246,17.03781106,208.3333333,732,0,1551.897954,299.9156627,25.3012048,20.4819277,25.3012048,11
14.292,175,258,15.44934114,133.3907057,574,30.12048193,996.6635367,247.3658537,20.7317073,26.8292683,26.8292683,10
37.345,137,473,6.796992755,51.4081359,834,1.117568172,2083.559128,356.5854922,23.3160622,26.9430052,25.388601,11
50.627,147,309,26.90923877,343.5804702,538,0,1040.927287,256.8823529,21.1764706,25.8823529,38.8235294,10
23.246,188,190,14.77443643,156.3937443,658,18.39926403,1293.595749,301.3684211,34.2105263,25,27.6315789,10
15.457,128,322,20.20026775,218.5223725,619,0,883.5226484,283.74,20,26.6666667,24.6666667,9
9.619,102,159,22.53132182,160,656,0,1449.478174,276.0666667,22.2222222,17.7777778,33.3333333,8
19.977,74,136,25.55490662,269.058296,887,44.84304933,1404.330503,304.9090909,19.6969697,18.1818182,31.8181818,9
6.849,329,180,10.04442382,78.14680435,689,0,1574.406974,316.5,20.5882353,20.5882353,20.5882353,8
9.021,153,391,15.49354486,147.9915433,624,21.14164905,952.3894198,242.5820896,29.8507463,26.8656716,26.8656716,8
25.92,125,217,19.11156314,217.6339286,757,11.16071429,1403.926583,325.0769231,33.8461538,18.4615385,26.1538462,10
13.307,164,298,13.46175853,133.8825953,760,0,1597.320034,308.313253,18.0722892,19.2771084,40.9638554,8
21.955,121,266,16.14165057,105.2631579,702,0,1380.959668,276.278481,13.9240506,27.2151899,29.1139241,10
15.715,117,148,23.74424688,278.6377709,809,10.31991744,901.1271034,242.2777778,13.8888889,23.6111111,30.5555556,9
27.284,197,312,16.41133841,148.9203276,603,7.446016381,1954.877775,349.0519481,24.6753247,16.8831169,33.7662338,9
13.306,198,318,10.4053622,58.1733566,535,0,1580.165176,339.9041096,16.4383562,23.2876712,31.5068493,7
19.494,212,327,15.16778746,164.6791596,959,0,2383.045751,387.1555556,23.3333333,27.7777778,32.2222222,6
37.877,148,389,19.16504191,145.0676983,635,0,708.22685,233.5820896,30.5970149,28.358209,35.0746269,6
15.635,113,245,23.23610733,282.8947368,982,32.89473684,1187.921931,279.3376623,23.3766234,24.6753247,28.5714286,7
14.708,109,238,17.6224275,204.5097011,730,26.21919245,1845.802006,315.1263158,23.1578947,27.3684211,32.6315789,6
